Ensembl	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrez
ENSG00000013293	244.49732618480382	-2.882906511604804	0.2184897710993641	-8.617824542223085	6.8238137214387275e-18	3.293952366391637e-15	SLC7A14	57709
ENSG00000013297	3431.5726431671496	-1.774338441229147	0.1729979033703072	-4.475998992725665	7.605484294401157e-6	9.459729361023868e-4	CLDN11	5010
ENSG00000016391	92.11144138356477	-2.007416014019909	0.26384000170129973	-3.818283836885475	1.3438326091417334e-4	0.013971724265507437	CHDH	55349
ENSG00000019186	14.087604930772232	-4.325906646933419	0.8577677671637186	-3.877397559400966	1.0557975884202515e-4	0.011206932098236743	CYP24A1	1591
ENSG00000025423	169.20409821806982	-1.992903265183087	0.24271534983019671	-4.090813646016705	4.298624399128488e-5	0.004883892069836295	HSD17B6	8630
ENSG00000049246	196.03011062109846	-2.2078494332333998	0.2686322641444998	-4.49629323968206	6.914835567082634e-6	8.707538899815734e-4	PER3	8863
ENSG00000088756	685.7232390647961	-1.647439905505191	0.1634309959343919	-3.961549042784397	7.446508262047226e-5	0.008204918940475297	ARHGAP28	79822
ENSG00000089041	96.75671444459775	-1.985902745585664	0.2601155021057352	-3.7902498605596415	1.5049582143964818e-4	0.01540986001953246	P2RX7	5027
ENSG00000092621	1231.1024276236758	-1.4268086346810787	0.13065025962081167	-3.2668028055957343	0.0010876941582366887	0.09383792069825797	PHGDH	26227
ENSG00000099194	785.211998028092	-1.991973466692854	0.19478082820283407	-5.092767475348586	3.5287437203841166e-7	5.338936581124446e-5	SCD	6319
ENSG00000100739	134.53573347103693	-1.8808307321788222	0.27023116467049985	-3.2595453350202703	0.0011159094461753772	0.0958641869142356	BDKRB1	623
ENSG00000100784	87.32382865719853	-2.5071911491469967	0.26362716741720005	-5.717131371220968	1.083373607440726e-8	2.033733010856785e-6	RPS6KA5	9252
ENSG00000103742	370.8298225527897	-2.1973422690525277	0.15213823632509096	-7.87009431668467	3.543739877530631e-15	1.4087408289618825e-12	IGDCC4	57722
ENSG00000105989	333.2146881638375	-3.0418401436490297	0.1913714915677303	-10.669510525951983	1.4136911277113774e-26	1.3027806328736575e-23	WNT2	7472
ENSG00000106484	677.213238740759	-1.8637648889998595	0.1373058806429587	-6.290807683947183	3.1581840221082693e-10	7.114335873802562e-8	MEST	4232
ENSG00000106976	884.7458829930462	-1.75625634965622	0.09970928118857861	-7.5846133944735215	3.334799093712352e-14	1.1083560135397414e-11	DNM1	1759
ENSG00000107562	25136.307571908896	-1.9116696841235545	0.10574808562840583	-8.621145987711987	6.628733479232524e-18	3.2778278672673218e-15	CXCL12	6387
ENSG00000108700	15.022807364663828	-4.045355696728599	0.812001089401098	-3.750433018476294	1.7652945731219623e-4	0.017984714661042546	CCL8	6355
ENSG00000108821	100990.69435151486	-1.304946322220137	0.08547598255187712	-3.5676258185749288	3.6023042064458385e-4	0.034127624056767725	COL1A1	1277
ENSG00000108830	158.26328502819564	-2.3634973284698955	0.25902627544045953	-5.26393442576953	1.410047601497622e-7	2.2688337359335543e-5	RND2	8153
ENSG00000110900	262.8052753259595	-1.4652635933873923	0.1410895592130939	-3.2976472248005524	9.749854605157073e-4	0.08520196218317004	TSPAN11	441631
ENSG00000112837	2754.9681280657132	-1.8335622673145682	0.12734204352565776	-6.545852761869777	5.91568421126869e-11	1.4806738481390298e-8	TBX18	9096
ENSG00000116711	111.96994820253296	-2.4507605878789556	0.2649833350077947	-5.47491255567555	4.3772770938955494e-8	7.5207555764100316e-6	PLA2G4A	5321
ENSG00000116991	119.855227839028	-2.582342301642396	0.2700038194242718	-5.860444141184443	4.616308056393165e-9	8.829342408991984e-7	SIPA1L2	57568
ENSG00000117461	215.51075186558106	-1.700985023991614	0.18320050995530177	-3.8263268162443653	1.3006958169471813e-4	0.013592941748859357	PIK3R3	8503
ENSG00000119714	54.81296339038727	-2.8327176110920123	0.4121323365749816	-4.446915343558769	8.711214774864152e-6	0.0010768973679609502	GPR68	8111
ENSG00000122877	17.052588610055402	-3.0670409250533526	0.5837148332604498	-3.5411827955570425	3.98337504496878e-4	0.03704538791820965	EGR2	1959
ENSG00000123610	322.73198778541604	-2.570510616095365	0.4422911164770465	-3.5508527247955013	3.83985221337684e-4	0.036208913383256776	TNFAIP6	7130
ENSG00000123689	42.13510590802507	-2.6792998721814145	0.45818260997442484	-3.6651322761358203	2.472107786159364e-4	0.024448543051997534	G0S2	50486
ENSG00000124134	26.08374835619302	-2.953069825250227	0.5004383410499228	-3.902718207307366	9.511842007613523e-5	0.01020333782340511	KCNS1	3787
ENSG00000124766	1281.4686580159466	-2.4119899404385	0.14080577696984303	-10.027926203204801	1.1490453940071435e-23	1.0128585355696013e-20	SOX4	6659
ENSG00000125848	178.6544504360529	-2.4815512445409533	0.2379978743753964	-6.225060826400861	4.813692181107171e-10	1.0165916174975708e-7	FLRT3	23767
ENSG00000126016	386.4151621032122	-2.3742818700392396	0.1751746831265203	-7.845208254475115	4.322355882141078e-15	1.6534234557458157e-12	AMOT	154796
ENSG00000126861	309.30615640905006	-1.7199469339000186	0.20286748683464464	-3.548853220066952	3.8691268765316526e-4	0.036316054766112375	OMG	4974
ENSG00000126878	93.26052686166484	-2.66916930692947	0.2540303825800518	-6.570746735003125	5.006355069130904e-11	1.2687355333944993e-8	AIF1L	83543
ENSG00000126950	786.1160827552726	-1.708078903269063	0.16880225053978837	-4.194724306132174	2.732036778441787e-5	0.003183293887708551	TMEM35A	59353
ENSG00000127824	228.71863193704547	-1.5611718637362568	0.1570764506139983	-3.5726034140871175	3.53449832733774e-4	0.03364245027626542	TUBA4A	7277
ENSG00000128165	58.752413647821655	-2.6194298023987286	0.3289133537520782	-4.9235757196388885	8.497697400376304e-7	1.2185203614687702e-4	ADM2	79924
ENSG00000128285	6.624741399084109	-5.325905147554059	1.2578164624479815	-3.4392181027229656	5.833970168890613e-4	0.053039422064613574	MCHR1	2847
ENSG00000128342	153.12184969095827	-2.607879664471831	0.2710882490354975	-5.93120384300128	3.0072158797029596e-9	5.919251916999786e-7	LIF	3976
ENSG00000128510	164.0454304578956	-2.2613486448055338	0.22603927869722618	-5.580218854330525	2.4021613940432753e-8	4.3098601860914484e-6	CPA4	51200
ENSG00000128606	1137.0463429418678	-2.4096310784975543	0.31130705627328237	-4.5281051299399495	5.951497162529085e-6	7.636750219817384e-4	LRRC17	10234
ENSG00000130513	451.0047652992933	-1.8685332282112637	0.13856848971119168	-6.267898495693248	3.6595319143693526e-10	8.153115388123544e-8	GDF15	9518
ENSG00000131389	740.4108031269425	-2.124915945437499	0.14523337268505782	-7.745574757648211	9.515045072152941e-15	3.5074186144150677e-12	SLC6A6	6533
ENSG00000131771	95.419786398675	-2.9986059912465417	0.31947715504404023	-6.255865121157198	3.953182982204026e-10	8.6179389012047775e-08	PPP1R1B	84152
ENSG00000132622	65.54923653035901	-2.2784833062725234	0.2942896357471162	-4.344302860095037	1.39718648846877e-5	0.0017064192088684243	HSPA12B	116835
ENSG00000133216	344.0561241555045	-1.7706997942772227	0.16096148391848086	-4.7881007028212075	1.683671618298777e-6	2.2457077887756184e-4	EPHB2	2048
ENSG00000134253	136.92158606867565	-1.958392943508089	0.1983909047829614	-4.830831053250983	1.359643399946046e-6	1.8816365943634768e-4	TRIM45	80263
ENSG00000134363	2906.341053088197	-1.8075425869903197	0.13078756822438042	-6.17445983554715	6.639005537141928e-10	1.387620600618716e-7	FST	10468
ENSG00000135472	155.83848616848263	-1.6955095132119524	0.2050082568628251	-3.3925926879975914	6.92345039993054e-4	0.061835257008014	FAIM2	23017
ENSG00000136999	435.71271672213066	-2.5524804981389173	0.182762090277945	-8.494543347462821	1.9871262307755652e-17	9.15613572789632e-15	NOV	4856
ENSG00000137809	1115.8000326385386	-1.7210735393535475	0.13716922730684555	-5.256817097471261	1.465699513344407e-7	2.3398103884680713e-5	ITGA11	22801
ENSG00000138316	799.5685841064611	-2.5071925088686355	0.16905946208790806	-8.915162098912399	4.871031712079487e-19	2.90456755678528e-16	ADAMTS14	140766
ENSG00000138669	239.22106335673018	-1.7022547023198182	0.215819438317051	-3.25389922147868	0.0011383265476645214	0.09656247877552514	PRKG2	5593
ENSG00000143320	1492.1255660968873	-1.636665561601123	0.14023551358847267	-4.539973829093294	5.626121108202322e-6	7.265221614502793e-4	CRABP2	1382
ENSG00000143494	18.960922659938444	-3.947970749571644	0.6529359321601139	-4.5149464202695135	6.333277605785373e-6	8.075526426395764e-4	VASH2	79805
ENSG00000145777	152.37254422485304	-2.7826096767644475	0.23298157891689142	-7.651290222392799	1.989727003051255e-14	7.203522367832348e-12	TSLP	85480
ENSG00000146006	46.807596545827394	-4.211850237527702	0.5288519478049374	-6.073250275164659	1.2534686430277827e-9	2.516121115717353e-7	LRRTM2	26045
ENSG00000146250	313.6899778001127	-2.756242581519109	0.15488833448048095	-11.338766004617547	8.432509733085e-30	1.0056511901680311e-26	PRSS35	167681
ENSG00000146592	669.4012930868463	-2.0466532980469982	0.1842099757475548	-5.681849171303045	1.3324614680908144e-8	2.433722865231817e-6	CREB5	9586
ENSG00000148848	1365.1739859070242	-1.8145430408862644	0.10048368950160609	-8.106221466651512	5.221822811533841e-16	2.1605558302252468e-13	ADAM12	8038
ENSG00000149403	45.05987041594931	-2.1788133769770943	0.3456017639472665	-3.410900926874213	6.474861372569853e-4	0.05834281754110275	GRIK4	2900
ENSG00000154864	153.23479367766961	-2.5674257666266205	0.23020682838619216	-6.808771823210761	9.843545789144574e-12	2.6609072977215612e-9	PIEZO2	63895
ENSG00000155897	24.2886725181586	-4.02506001577902	0.7299361624699705	-4.144280241634789	3.4088267291127006e-5	0.003926735971933573	ADCY8	114
ENSG00000157368	52.06966533517676	-2.2717059317947457	0.37099653096381097	-3.427810843651244	6.084692633795846e-4	0.05507190109713258	IL34	146433
ENSG00000162692	508.1702324397553	-3.6926601761472773	0.19018562717370074	-14.158063446550623	1.6651999745041084e-45	4.220033035387037e-42	VCAM1	7412
ENSG00000163394	1216.602064987596	-2.188504014606	0.1254268458418663	-9.475674897417283	2.6504176755376564e-21	1.791152265128348e-18	CCKAR	886
ENSG00000163491	160.22505904844687	-2.4961381606171957	0.22980283529067128	-6.510529596924997	7.488631140381587e-11	1.829210936627666e-8	NEK10	152110
ENSG00000164742	353.79947827724067	-2.5889779463925917	0.2493252105225019	-6.373113826165544	1.852283031935897e-10	4.3164581826975146e-8	ADCY1	107
ENSG00000165272	138.57318585302596	-2.9196554750076595	0.299190313114468	-6.416168541770982	1.397467301856324e-10	3.294447916027339e-8	AQP3	360
ENSG00000167992	251.54379773355885	-1.5242798463317733	0.15415502263618355	-3.4009910112958806	6.714203554717427e-4	0.06023175348156687	VWCE	220001
ENSG00000168398	5604.076593606673	-2.1078058447875554	0.2856599073638416	-3.878058545249601	1.0529338182370567e-4	0.011206932098236743	BDKRB2	624
ENSG00000172061	231.2773027254979	-2.5566152810793716	0.2493375235769343	-6.24300449747216	4.292445541081214e-10	9.257983074455376e-8	LRRC15	131578
ENSG00000172986	756.366829107728	-1.5729035701242688	0.10427746129259328	-5.494030666097177	3.9286222581880423e-8	6.807597236111484e-6	GXYLT2	727936
ENSG00000176771	107.65217910148701	-2.2212202645527497	0.2400949480139643	-5.08640550188387	3.649134097670032e-7	5.4398929923648695e-5	NCKAP5	344148
ENSG00000177570	102.12210509285981	-2.0248084050817887	0.25842467356737897	-3.965598140978558	7.321212061297156e-5	0.008110942804958391	SAMD12	401474
ENSG00000177614	133.1503397321538	-2.5700694278095133	0.2558832160277375	-6.135882814757648	8.468756861979552e-10	1.7519956797936064e-7	PGBD5	79605
ENSG00000178695	2649.850148958817	-2.528174368655857	0.13443011604838193	-11.367797734444125	6.049466746036418e-30	7.665430550571397e-27	KCTD12	115207
ENSG00000181634	26.82848641654122	-2.7089693848346394	0.5215172064149248	-3.2769185058775694	0.0010494665520489983	0.09092685844547603	TNFSF15	9966
ENSG00000182010	118.30706678544128	-1.8823650306087014	0.26442364238028515	-3.3369369798624655	8.4707152851305e-4	0.07532249196962094	RTKN2	219790
ENSG00000183496	171.52682151378767	-1.7148305596899152	0.19551336766090693	-3.656172302907174	2.560093120499724e-4	0.024834128193785363	MEX3B	84206
ENSG00000183508	90.03600527866072	-2.547310776238089	0.30218101563412386	-5.120476456772351	3.047646656001837e-7	4.645713406299341e-5	TENT5C	54855
ENSG00000183876	193.711245126177	-1.6869373218584511	0.19100655912085876	-3.596406976913258	3.226428876446462e-4	0.03093742749403535	ARSI	340075
ENSG00000184564	43.217067612514384	-3.191603085311282	0.4546457640121894	-4.820463003923475	1.4322541730795943e-6	1.948826919799711e-4	SLITRK6	84189
ENSG00000185745	237.71559349546226	-1.664125628497324	0.18135545096458328	-3.66201084646207	2.502432617571939e-4	0.024509332796450966	IFIT1	3434
ENSG00000188176	56.14648438594187	-3.2503162705107465	0.3833154827471969	-5.870663648603175	4.340540870027373e-9	8.380964342755711e-7	SMTNL2	342527
ENSG00000196517	229.64074274042454	-2.2292452709071036	0.1613271451874454	-7.619581128016914	2.5450021639335218e-14	9.0521708546646e-12	SLC6A9	6536
ENSG00000196932	68.82898386167516	-2.084590447737619	0.27240974717298655	-3.9814671060535827	6.849120078295053e-5	0.007629618706997468	TMEM26	219623
ENSG00000214814	243.2769764671969	-3.059419374418402	0.2527104929432141	-8.149322770230869	3.65967951012147e-16	1.5457571330875558e-13	FER1L6	654463
ENSG00000225783	69.75066344264866	-1.859515126183836	0.264125805578927	-3.254188375497421	0.0011371684628224638	0.09656247877552514	MIAT	440823
ENSG00000254726	47.89523643491952	-2.1002164627090347	0.33854739241662357	-3.24981520269719	0.0011548002352381322	0.09755174987174121	MEX3A	92312
ENSG00000267339	26.233572568220907	-4.611550391319478	0.6730944687002248	-5.365592140867747	8.068407789421649e-8	1.3408106518256927e-5	LINC00906	148145
ENSG00000272841	114.90346982487888	-2.0173583023318686	0.24011753023287655	-4.236918068185983	2.2660877873514662e-5	0.0026867054854247735	NA	NA
